sample,outcome,n_obs_common_sample,model1_pop_theta,model1_pop_se,model1_pop_p,model2_pop_theta,model2_pop_se,model2_pop_p,model3_rule_theta,model3_rule_se,model3_rule_p
global,algebraic_connectivity_vitality_w,1423,0.00039177629108916507,0.0019707248158043144,0.8424207052988847,0.0038099286274328134,0.0021738552840982334,0.07966833215456856,-0.0343834333363012,0.008070245019084097,2.039526182192326e-05
global,efficiency_vitality_w,1423,-5.571502243083083e-05,0.00022592260007025717,0.8052092080943951,0.0007686422279269548,0.0005698799347321228,0.177407883218351,0.0002429176779840736,0.0007310140791302965,0.7396609845854396
global,flow_betweenness_log1p_w,1423,-0.07099589399407513,0.03207692322894858,0.02687688411679307,-0.09560100731301381,0.029233044076248712,0.0010743110062302755,0.07765909561747579,0.1090182366679007,0.4762483263362388
global,communicability_betweenness_asinh_w,1423,-0.026813541909029508,0.022907285521399375,0.24178990831647929,-0.040639586206256954,0.0214491622964913,0.05813303284236091,0.12379937006276495,0.09472671529611097,0.19124299770272946
global,shannon_entropy_w,1423,-0.014005642508484897,0.009394900653985775,0.13602171006405386,-0.010097964836251782,0.00806753926770402,0.2106870651278816,0.047812515617251895,0.019703646907338022,0.015241803996950926
global,participation_coefficient_w,1423,0.006766654583799092,0.005048104980648653,0.18010409300055352,0.008473053619791313,0.005745673933731267,0.14029751025212855,-0.08815008270693803,0.016530666155968196,9.685991039925034e-08
global,within_module_degree_zscore_w,1423,0.0013033030799965454,0.019331832679505397,0.9462493687692807,-0.01931058643092564,0.022696305238645693,0.3948665101807739,0.03893284677924048,0.11334613586072106,0.7312326326750378
global,laplacian_centrality_log_w,1423,-0.008295235377772802,0.01833163812114746,0.6509021763023263,0.00015248537969092014,0.018796420445599937,0.9935272571682005,0.20532465880415696,0.0664412717251242,0.001999422912659467
americas,algebraic_connectivity_vitality_w,168,-0.004466801104361451,0.0011976611468267745,0.0001917813825932616,0.0007556300919182575,0.0019331084075172526,0.6958795606066006,0.004393154510651134,0.014032831706539507,0.7542331172921819
americas,efficiency_vitality_w,168,0.003847567601368531,0.0007404602011510839,2.0342069913953473e-07,0.0036139617996961398,0.000934557476614173,0.00011016887922667694,0.0025149668165532074,0.011526770513576253,0.8272850805064058
americas,flow_betweenness_log1p_w,168,-0.2011365845047983,0.08775223851658291,0.021900084706686553,-0.18631175187969057,0.03800320078776888,9.461117581697434e-07,-0.24798417395938288,0.6926303131647406,0.7203189797686742
americas,communicability_betweenness_asinh_w,168,-0.11537739402422217,0.16613591227526112,0.4873837836582754,-0.13428040380845424,0.12025429446664412,0.2641495320662097,-0.46872757647676394,1.2088908644517753,0.6982132066326318
americas,shannon_entropy_w,168,-0.05661404628309798,0.013886186144976316,4.56195695157064e-05,-0.04766380354547246,0.015274497283032516,0.001805549424792005,0.2968067339915612,0.19469541702677545,0.12739209984626923
americas,participation_coefficient_w,168,0.003891824575938725,0.00623809432531949,0.5327061549309466,0.004978356362283427,0.005042599811065252,0.3235152652239698,0.09378843748987531,0.05068972157202432,0.0642781503109666
americas,within_module_degree_zscore_w,168,0.22889638582798683,0.11676605058071253,0.04996083920442324,0.15369648615622425,0.08516053385552204,0.07110827360625908,0.030356113691424727,0.7047427681410359,0.9656425182484083
americas,laplacian_centrality_log_w,168,0.02830154531210751,0.1037690539991113,0.7850562438611556,-0.21314793446891744,0.07039813458105959,0.0024638202633609422,-1.2744005704986803,0.5279310531226572,0.015780512489936796
