outcome,first_stage_pop_coef,first_stage_pop_p,total_pop_coef,total_pop_p,full_pop_coef,full_pop_p,full_wui_coef,full_wui_p,nobs,clusters_country,pop_abs_shrink_share
algebraic_connectivity_vitality_w,0.019394007290043078,0.5079940726511765,0.0016685164748350084,0.46872415761627767,0.0017163208991291614,0.4560655305527896,-0.002220874063721986,0.14995917553853555,1573,68,-0.028650855424655106
efficiency_vitality_w,0.019394007290043078,0.5079940726511765,-3.219021963100444e-06,0.9902239165557645,8.600478528103528e-07,0.9973545011941606,-0.0001865531657486417,0.7673530665574616,1573,68,0.7328232417581935
laplacian_centrality_log_w,0.019394007290043078,0.5079940726511765,-0.0047502421183919785,0.8060326566836102,-0.0038989398542510767,0.838993287174675,-0.0409072592123394,0.18330986777841413,1573,68,0.1792123944261349
flow_betweenness_log1p_w,0.019394007290043078,0.5079940726511765,0.0004352475863703409,0.9852692301146021,-5.651538559553471e-06,0.9998068113762939,0.02044192593644356,0.6105558918181058,1573,68,0.987015347731889
within_module_degree_zscore_w,0.019394007290043078,0.5079940726511765,-0.00404896115690781,0.833951377570855,-0.004121192970280782,0.8298626027487143,0.0032580827437984003,0.9191780369859154,1573,68,-0.017839591582581527
shannon_entropy_w,0.019394007290043078,0.5079940726511765,0.016076000781700246,0.11480033373740356,0.015705020159190827,0.11889969536297411,0.01972459141404928,0.1822005762311603,1573,68,0.023076673579894097
participation_coefficient_w,0.019394007290043078,0.5079940726511765,-0.0028827851582819263,0.8088271627078962,-0.0030815068002165973,0.796282344960689,0.009181932535155937,0.3873902896723328,1573,68,-0.0689339062828756
