outcome,model,term,coef,std_err_cluster_country,t_value,p_value,ci_low,ci_high,stars,nobs,r2,adj_r2,clusters_country,formula
algebraic_connectivity_vitality_w,Baseline_M3,asinhInflation_winsor_lag1,2.0623279879082985e-05,0.00018076336409632673,0.11408993178558613,0.9094840522642506,-0.0003397219006341791,0.000380968460392345,,1689,0.9518172576819076,0.9487508071626087,73,algebraic_connectivity_vitality_w ~ algebraic_connectivity_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + asinhInflation_winsor_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M1,efficiency_vitality_w_lag1,0.9881920741610437,0.015938370472732624,62.00082222029181,3.446267536827628e-66,0.9564412120110273,1.0199429363110601,***,1803,0.9966478658911291,0.9964509132407842,76,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M1,populism_gov_annual_l1,-6.843769527592111e-05,0.0003173562276752269,-0.21564944786890478,0.8298464037477699,-0.0007006437200137664,0.0005637683294619242,,1803,0.9966478658911291,0.9964509132407842,76,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M2,efficiency_vitality_w_lag1,0.9905916714604996,0.015251564504996548,64.95016764581581,1.172026597649724e-65,0.9601882332851956,1.0209951096358036,***,1715,0.9966886976338709,0.9964835363968121,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M2,populism_gov_annual_l1,-0.00010574888918498868,0.00032891010743504775,-0.3215130419969586,0.7487531474248373,-0.0007614192050635984,0.0005499214266936211,,1715,0.9966886976338709,0.9964835363968121,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M2,lnGDP_lag1,-0.00018911872331358335,0.0003707930763430197,-0.5100384429471658,0.6115845392466644,-0.0009282812117738671,0.0005500437651467004,,1715,0.9966886976338709,0.9964835363968121,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M2,lnTradeOpen_lag1,2.105163411482262e-05,0.0005126158745496778,0.041067074119224334,0.9673560915436068,-0.0010008294354924728,0.0010429327037221178,,1715,0.9966886976338709,0.9964835363968121,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M2,asinhFDI_lag1,6.873704824463295e-05,3.9588401630710326e-05,1.736292586041434,0.0867893967228275,-1.0180988068565511e-05,0.00014765508455783142,*,1715,0.9966886976338709,0.9964835363968121,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M3,efficiency_vitality_w_lag1,0.9902244189374021,0.015057132094590525,65.7644771073738,4.849643989210591e-66,0.9602085746884207,1.0202402631863834,***,1689,0.9966849790300527,0.9964740041605098,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + asinhInflation_winsor_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M3,populism_gov_annual_l1,-7.613891112081292e-05,0.0003602124962214039,-0.2113722092362234,0.8331939916521199,-0.0007942093985945088,0.0006419315763528829,,1689,0.9966849790300527,0.9964740041605098,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + asinhInflation_winsor_lag1 + C(country) + C(year)
efficiency_vitality_w,Baseline_M3,lnGDP_lag1,-0.00014108114096960745,0.00042837522675323976,-0.32934010222508847,0.7428547894045698,-0.000995031548362709,0.000712869266423494,,1689,0.9966849790300527,0.9964740041605098,73,efficiency_vitality_w ~ efficiency_vitality_w_lag1 + populism_gov_annual_l1 + lnGDP_lag1 + lnTradeOpen_lag1 + asinhFDI_lag1 + asinhInflation_winsor_lag1 + C(country) + C(year)
